season,round,circuit_id,weather,warm,cold,dry,wet,cloudy
2020,1,red_bull_ring,Sunny,True,False,False,False,False
2020,2,red_bull_ring,Sunny,True,False,False,False,False
2020,3,hungaroring,"Wet at start, partly cloudy",False,False,False,True,True
2020,4,silverstone,Partly cloudy,False,False,False,False,True
2020,5,silverstone,Sunny,True,False,False,False,False
2020,6,catalunya,Partly cloudy,False,False,False,False,True
2020,7,spa,Partly cloudy,False,False,False,False,True
2020,8,monza,Sunny,True,False,False,False,False
2020,9,mugello,Sunny,True,False,False,False,False
2020,10,sochi,Sunny,True,False,False,False,False
2020,11,nurburgring,"Partly cloudy, 10 °C (50 °F)",False,False,False,False,False
2020,12,portimao,Cloudy,False,False,False,False,True
2020,13,imola,Partly cloudy,False,False,False,False,True
2020,14,istanbul,Overcast. Wet and drying track. Air: 11–14 °C (52–57 °F); Track: 14–17 °C (57–63 °F),False,False,False,True,False
2020,15,bahrain,Clear,True,False,False,False,False
2020,16,bahrain,Clear,True,False,False,False,False
2020,17,yas_marina,Clear,True,False,False,False,False
2021,1,bahrain,"Clear, 21 °C (70 °F)",False,False,False,False,False
2021,2,imola,"Wet at start, drying during race, 9 °C (48 °F)",False,False,False,True,False
2021,3,portimao,Light cloud,False,False,False,False,False
2021,4,catalunya,Cloudy,False,False,False,False,True
2021,5,monaco,Sunny,True,False,False,False,False
2021,6,baku,Sunny,True,False,False,False,False
2021,7,ricard,Windy and partly cloudy. Ambient temperature: 24 to 27 °C (75 to 81 °F); Surface temperature: 33 to 38 °C (91 to 100 °F),False,False,False,False,False
2021,8,red_bull_ring,Partly cloudy. Ambient temperature: 25 to 29 °C (77 to 84 °F); Surface temperature: 48 to 56 °C (118 to 133 °F),False,False,False,False,False
2021,9,red_bull_ring,Partly cloudy,False,False,False,False,True
2021,10,silverstone,Clear. Ambient: 29 to 31 °C (84 to 88 °F); Surface: 48 to 52 °C (118 to 126 °F),False,False,False,False,False
2021,11,hungaroring,Rain and sunny. Ambient: 26 to 29 °C (79 to 84 °F); Surface: 31 to 52 °C (88 to 126 °F).[3],False,False,False,True,False
2021,12,spa,"Wet, persistent rain",False,False,False,True,False
2021,13,zandvoort,Sunny,True,False,False,False,False
2021,14,monza,Sunny,True,False,False,False,False
2021,15,sochi,Cloudy and rainy,False,False,False,True,True
2021,16,istanbul,Overcast with intermittent rain,False,False,False,True,True
2021,17,americas,Sunny,True,False,False,False,False
2021,18,rodriguez,Sunny,True,False,False,False,False
2021,19,interlagos,Sunny,True,False,False,False,False
2021,20,losail,Clear,True,False,False,False,False
2021,21,jeddah,Clear,True,False,False,False,False
2021,22,yas_marina,Clear,True,False,False,False,False
